Monat;Durchschnittliche tägliche Temperatur;Niedrigste Temperatur;Höchste Temperatur;Sonnenstd
Jan;-4,4;-6,4;-2,6;1,5
Feb;-4,9;-7,1;-2,9;2,4
Mrz;-2;-5;0,7;5,6
Apr;4;0,4;7,3;8,8
Mai;10,1;6,2;13,4;11,6
Juni;14,5;10,9;17,5;12,5
Juli;18,3;14,9;21,2;12,2
Aug;17;14;19,8;9,7
Sep;12,6;10,1;15;6,5
Okt;6,5;4,5;8,3;3,7
Nov;2,4;0,8;3,7;1,8
Dez;-1,2;-2,8;0,4;1,5
