Monat;Niederschlag ;Regentage
Jan;79;9
Feb;59;7
Mrz;56;6
Apr;61;7
Mai;80;9
Jun;99;9
Jul;104;10
Aug;118;11
Sep;92;8
Okt;95;9
Nov;96;10
Dez;71;8
