Monat;Durchschnittliche tägliche Temperatur ;Niedrigste Temperatur ;Höchste Temperatur ;Sonnenstd
Jan;-1,8;-3,7;-0,1;2,7
Feb;-1,7;-3,9;0,4;3,9
Mrz;0,5;-2,3;3,5;5,4
Apr;5,4;2;9;8,7
Mai;10,6;7;14;10,2
Jun;14,8;11,4;18,1;11
Jul;18;14,8;21;10,9
Aug;17;14,2;19,9;10,2
Sep;13,1;10,6;15,8;7,4
Okt;7,6;5,7;9,5;5
Nov;3,6;2;5;3,5
Dez;0,2;-1,6;1,8;2,6
