Monat;Durchschnittliche tägliche Temperatur;Niedrigste Temperatur ;Höchste Temperatur;Sonnenstd
Jan;-1,8;-5,6;2,5;4,8
Feb;0,3;-3,8;5;5,6
Mrz;4,8;0,2;9,8;7
Apr;9,9;4,8;14,9;8,8
Mai;14,7;9,7;19,4;9,9
Jun;18,5;13,7;23;10,9
Jul;20,8;15,8;25,4;11,3
Aug;21;16;25,9;10,8
Sep;16,2;11,7;21,1;8,4
Okt;10,7;6,5;15,7;6,5
Nov;5,4;1,6;10,3;5,7
Dez;0,2;-3;4,2;4,9
