Monat;Durchschnittliche tägliche Temperatur ;Niedrigste Temperatur ;Höchste Temperatur ;Sonnenstd
Jan;8,2;5;11,6;5,7
Feb;9;5,4;12,7;6,5
Mrz;11,7;7,5;15,9;8,3
Apr;15,3;10,5;20;10,5
Mai;20,3;15,1;25,3;12
Jun;25,1;19,6;30,2;12,9
Jul;27,7;22,1;32,8;12,8
Aug;27,4;22,1;32,5;12
Sep;23,3;18,8;28;10,2
Okt;18,5;14,7;22,7;7,9
Nov;14;10,8;17,6;6,3
Dez;9,9;6,9;13;5,5
