Monat;Durchschnittliche tägliche Temperatur ;Niedrigste Temperatur ;Höchste Temperatur ;Sonnenstd
Jan;0,5;-1,9;2,8;2,7
Feb;1,4;-1,4;4,4;3,9
Mrz;4,4;0,6;8,4;5,4
Apr;9,7;4,6;14,4;8,7
Mai;14,4;9,4;18,9;10,2
Juni;17,8;12,9;22,1;11
Juli;19,8;15,2;24;10,9
Aug;19,5;14,9;23,9;10,2
Sep;15,5;11,4;19,6;7,4
Okt;10,4;7,3;13,8;5
Nov;5,6;3,2;8;3,5
Dez;2,2;0,1;4,2;2,6
